"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Alabama"	"01"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	26	4430141	0.6	0.6	0.4	0.9
	"Alabama"	"01"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	21	4430141	0.5	0.5	0.3	0.7
	"Alabama"	"01"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	44	4430141	1.0	1.0	0.7	1.3
	"Alabama"	"01"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	94	4430141	2.1	2.1	1.7	2.6
	"Alabama"	"01"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	63	4430141	1.4	1.4	1.1	1.8
	"Alabama"	"01"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	278	4430141	6.3	6.2	5.5	7.0
"Total"	"Alabama"	"01"	"1999"	"1999"			555	4430141	12.5	12.5	11.4	13.5
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	10	4447100	Unreliable	Unreliable	0.1	0.4
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	29	4447100	0.7	0.7	0.4	1.0
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	13	4447100	Unreliable	Unreliable	0.1	0.5
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	64	4447100	1.4	1.5	1.1	1.9
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	80	4447100	1.8	1.8	1.4	2.2
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	38	4447100	0.9	0.9	0.6	1.2
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	309	4447100	6.9	6.9	6.2	7.7
"Total"	"Alabama"	"01"	"2000"	"2000"			583	4447100	13.1	13.1	12.0	14.2
	"Alabama"	"01"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	27	4467634	0.6	0.6	0.4	0.9
	"Alabama"	"01"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	13	4467634	Unreliable	Unreliable	0.1	0.5
	"Alabama"	"01"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	53	4467634	1.2	1.2	0.9	1.5
	"Alabama"	"01"	"2001"	"2001"	"Intentional self-harm by handgun discharge"	"X72"	65	4467634	1.5	1.4	1.1	1.8
	"Alabama"	"01"	"2001"	"2001"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	54	4467634	1.2	1.2	0.9	1.6
	"Alabama"	"01"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	268	4467634	6.0	5.9	5.2	6.6
"Total"	"Alabama"	"01"	"2001"	"2001"			512	4467634	11.5	11.4	10.4	12.4
	"Alabama"	"01"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	22	4480089	0.5	0.5	0.3	0.8
	"Alabama"	"01"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	11	4480089	Unreliable	Unreliable	0.1	0.4
	"Alabama"	"01"	"2002"	"2002"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	66	4480089	1.5	1.5	1.2	1.9
	"Alabama"	"01"	"2002"	"2002"	"Intentional self-harm by handgun discharge"	"X72"	56	4480089	1.2	1.2	0.9	1.6
	"Alabama"	"01"	"2002"	"2002"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	47	4480089	1.0	1.1	0.8	1.4
	"Alabama"	"01"	"2002"	"2002"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	278	4480089	6.2	6.2	5.5	6.9
"Total"	"Alabama"	"01"	"2002"	"2002"			514	4480089	11.5	11.4	10.5	12.4
	"Alabama"	"01"	"2003"	"2003"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	15	4503491	Unreliable	Unreliable	0.2	0.5
	"Alabama"	"01"	"2003"	"2003"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	23	4503491	0.5	0.5	0.3	0.8
	"Alabama"	"01"	"2003"	"2003"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	57	4503491	1.3	1.3	1.0	1.7
	"Alabama"	"01"	"2003"	"2003"	"Intentional self-harm by handgun discharge"	"X72"	54	4503491	1.2	1.2	0.9	1.5
	"Alabama"	"01"	"2003"	"2003"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	49	4503491	1.1	1.1	0.8	1.4
	"Alabama"	"01"	"2003"	"2003"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	296	4503491	6.6	6.5	5.7	7.2
"Total"	"Alabama"	"01"	"2003"	"2003"			521	4503491	11.6	11.4	10.5	12.4
	"Alabama"	"01"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	34	4530729	0.8	0.8	0.5	1.1
	"Alabama"	"01"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	17	4530729	Unreliable	Unreliable	0.2	0.6
	"Alabama"	"01"	"2004"	"2004"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	77	4530729	1.7	1.7	1.4	2.2
	"Alabama"	"01"	"2004"	"2004"	"Intentional self-harm by handgun discharge"	"X72"	53	4530729	1.2	1.1	0.8	1.5
	"Alabama"	"01"	"2004"	"2004"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	42	4530729	0.9	0.9	0.6	1.2
	"Alabama"	"01"	"2004"	"2004"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	280	4530729	6.2	6.0	5.3	6.7
"Total"	"Alabama"	"01"	"2004"	"2004"			541	4530729	11.9	11.7	10.7	12.7
	"Alabama"	"01"	"2005"	"2005"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	18	4569805	Unreliable	Unreliable	0.2	0.6
	"Alabama"	"01"	"2005"	"2005"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	11	4569805	Unreliable	Unreliable	0.1	0.4
	"Alabama"	"01"	"2005"	"2005"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	93	4569805	2.0	2.1	1.7	2.5
	"Alabama"	"01"	"2005"	"2005"	"Intentional self-harm by handgun discharge"	"X72"	54	4569805	1.2	1.1	0.8	1.5
	"Alabama"	"01"	"2005"	"2005"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	45	4569805	1.0	0.9	0.7	1.3
	"Alabama"	"01"	"2005"	"2005"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	270	4569805	5.9	5.8	5.1	6.4
	"Alabama"	"01"	"2005"	"2005"	"Intentional self-harm by unspecified means"	"X84"	11	4569805	Unreliable	Unreliable	0.1	0.5
"Total"	"Alabama"	"01"	"2005"	"2005"			535	4569805	11.7	11.5	10.5	12.5
	"Alabama"	"01"	"2006"	"2006"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	30	4628981	0.6	0.6	0.4	0.9
	"Alabama"	"01"	"2006"	"2006"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	10	4628981	Unreliable	Unreliable	0.1	0.4
	"Alabama"	"01"	"2006"	"2006"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	99	4628981	2.1	2.2	1.8	2.7
	"Alabama"	"01"	"2006"	"2006"	"Intentional self-harm by handgun discharge"	"X72"	43	4628981	0.9	0.9	0.7	1.3
	"Alabama"	"01"	"2006"	"2006"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	40	4628981	0.9	0.9	0.6	1.2
	"Alabama"	"01"	"2006"	"2006"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	317	4628981	6.8	6.6	5.9	7.4
	"Alabama"	"01"	"2006"	"2006"	"Intentional self-harm by unspecified means"	"X84"	13	4628981	Unreliable	Unreliable	0.2	0.5
"Total"	"Alabama"	"01"	"2006"	"2006"			580	4628981	12.5	12.4	11.4	13.4
	"Alabama"	"01"	"2007"	"2007"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	38	4672840	0.8	0.8	0.6	1.1
	"Alabama"	"01"	"2007"	"2007"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	11	4672840	Unreliable	Unreliable	0.1	0.4
	"Alabama"	"01"	"2007"	"2007"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	104	4672840	2.2	2.3	1.9	2.7
	"Alabama"	"01"	"2007"	"2007"	"Intentional self-harm by handgun discharge"	"X72"	57	4672840	1.2	1.1	0.9	1.5
	"Alabama"	"01"	"2007"	"2007"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	37	4672840	0.8	0.7	0.5	1.0
	"Alabama"	"01"	"2007"	"2007"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	302	4672840	6.5	6.3	5.6	7.0
	"Alabama"	"01"	"2007"	"2007"	"Intentional self-harm by unspecified means"	"X84"	10	4672840	Unreliable	Unreliable	0.1	0.4
"Total"	"Alabama"	"01"	"2007"	"2007"			592	4672840	12.7	12.4	11.4	13.4
	"Alabama"	"01"	"2008"	"2008"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	36	4718206	0.8	0.8	0.5	1.0
	"Alabama"	"01"	"2008"	"2008"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	11	4718206	Unreliable	Unreliable	0.1	0.4
	"Alabama"	"01"	"2008"	"2008"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	85	4718206	1.8	1.8	1.5	2.3
	"Alabama"	"01"	"2008"	"2008"	"Intentional self-harm by handgun discharge"	"X72"	49	4718206	1.0	1.0	0.7	1.3
	"Alabama"	"01"	"2008"	"2008"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	39	4718206	0.8	0.8	0.6	1.1
	"Alabama"	"01"	"2008"	"2008"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	336	4718206	7.1	6.9	6.2	7.7
